player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,position,age,marketvalue,g/a
Nicolás Domínguez,26,1505,2,2,4,0,0.8,85.4,0.8,1,6.61,Non Big 6,Central Midfield,25,17000000,4
Elijah Adebayo,27,1419,10,0,1,0,1.1,72.6,1.6,1,6.59,Non Big 6,Centre-Forward,26,12000000,10
Axel Disasi,31,2581,2,0,6,0,0.5,90.6,2.4,1,6.58,Big 6,Centre-Back,26,40000000,2
Vladimír Coufal,36,3140,0,7,5,1,0.2,73.0,1.1,0,6.58,Non Big 6,Wing Back,31,8000000,7
Taiwo Awoniyi,20,1047,6,3,2,0,1.1,73.8,1.1,0,6.58,Non Big 6,Centre-Forward,26,28000000,9
Sander Berge,37,3009,1,2,8,1,0.7,88.8,1.8,1,6.58,Non Big 6,Defensive Midfield,26,20000000,3
Gustavo Hamer,36,2924,4,6,9,0,1.4,73.5,0.2,0,6.58,Non Big 6,Central Midfield,26,15000000,10
Danny Welbeck,29,1707,5,1,4,0,1.4,83.2,0.6,0,6.58,Non Big 6,Centre-Forward,33,5000000,6
Justin Kluivert,32,1937,7,1,5,0,1.8,72.4,0.4,0,6.55,Non Big 6,Wing Forward,25,14000000,8
Danilo,29,1801,2,2,4,0,0.8,80.6,0.5,0,6.55,Non Big 6,Central Midfield,23,28000000,4
Lewis Hall,18,777,1,0,2,0,0.6,83.1,0.6,0,6.55,Non Big 6,Wing Back,19,18000000,1
Ben Mee,16,1276,2,0,1,1,0.6,76.4,2.2,0,6.54,Non Big 6,Centre-Back,34,1000000,2
Antony,29,1324,1,1,5,0,1.5,80.0,0.1,1,6.54,Big 6,Wing Forward,24,25000000,2
Tyler Adams,3,118,0,0,0,0,0.0,84.1,0.7,1,6.54,Non Big 6,Defensive Midfield,25,15000000,0
David Raya,32,2880,0,0,2,0,0.0,70.8,0.2,0,6.54,Big 6,Goalkeeper,28,35000000,0
Rico Lewis,16,808,2,0,1,0,0.3,91.0,0.0,0,6.54,Big 6,Wing Back,19,38000000,2
Eddie Nketiah,27,1073,5,2,3,0,1.4,79.9,0.9,1,6.53,Big 6,Centre-Forward,25,30000000,7
Sandro Tonali,8,439,1,0,2,0,0.4,88.0,0.1,0,6.53,Non Big 6,Defensive Midfield,24,38000000,1
Oliver Arblaster,12,946,0,0,2,0,0.1,81.5,0.8,0,6.53,Non Big 6,Central Midfield,20,450000,0
Will Hughes,30,1899,0,1,6,0,0.3,85.1,0.4,0,6.53,Non Big 6,Central Midfield,29,9000000,1
Harry Wilson,35,1616,4,6,6,0,1.1,79.2,0.1,2,6.52,Non Big 6,Wing Forward,27,17000000,10
Tom Cairney,34,1480,1,4,3,0,0.5,90.3,0.4,0,6.52,Non Big 6,Central Midfield,33,2000000,5
Nathaniel Clyne,19,1339,0,0,0,0,0.2,84.2,0.7,0,6.52,Non Big 6,Wing Back,33,1500000,0
