player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,position,age,league,MarketValue,Height
Ismaïla Sarr,15,1449.0,3,4,1,0,1.1,80.9,1.0,0,6.73,Marseille,AM(CLR),26,Other,20,185
Nathan Aké,24,2044.0,2,2,0,0,0.7,92.8,1.6,0,6.73,Man City,D(CL),29,English Premier League,40,180
Pervis Estupiñán,15,1248.0,2,3,4,0,0.6,88.7,0.6,1,6.73,Brighton,D(L),26,English Premier League,30,175
Álex Remiro,37,3276.0,0,0,2,1,0.0,74.9,0.2,0,6.72,Real Sociedad,GK,29,Spanish La Liga,25,191
Ismaël Bennacer,13,1151.0,2,2,2,0,0.6,90.0,0.7,0,6.72,AC Milan,M(C),26,Italian Serie A,35,175
Jack Grealish,10,1004.0,3,1,7,0,1.1,87.7,0.2,0,6.72,Man City,AM(CL),28,English Premier League,60,180
Frank Anguissa,32,2792.0,0,2,2,0,1.0,88.0,1.4,0,6.72,Napoli,M(C),28,Italian Serie A,30,184
Mathias Jensen,27,2220.0,3,3,5,0,0.4,78.6,0.2,1,6.71,Brentford,M(C),28,Other,28,180
Maxence Lacroix,27,2365.0,4,1,3,3,0.4,85.2,2.3,0,6.71,Wolfsburg,D(C),24,German Bundesliga,20,190
Scott McTominay,18,1893.0,7,1,2,0,1.4,81.5,1.2,2,6.71,Man Utd,D(C),27,English Premier League,32,191
Destiny Udogie,28,2398.0,2,3,5,1,0.3,87.5,0.8,0,6.71,Tottenham,D(L),21,English Premier League,45,188
Manu Koné,18,1567.0,1,0,4,1,1.1,85.4,1.0,0,6.7,Borussia M.Gladbach,DMC,23,Other,25,185
Jamie Bynoe-Gittens,14,1061.0,1,4,1,0,1.7,80.3,0.2,1,6.7,Borussia Dortmund,AM(L),19,German Bundesliga,28,177
Rasmus Højlund,25,2172.0,10,2,2,0,1.3,77.0,0.8,1,6.7,Man Utd,FW,21,English Premier League,65,191
Carlos Augusto,14,1705.0,0,3,1,0,0.0,84.0,0.3,1,6.69,Marseille,M(C),31,Other,20,184
